Race,Year,Date,Finishers
Gobbler Grind Marathon,2023,11/19/23,148
Sleeping Bear Marathon,2023,10/7/23,148
Freedom's Run,2023,10/7/23,147
Sun Marathon,2023,1/28/23,147
Mississippi River Marathon,2023,2/4/23,145
Martian Marathon,2023,4/15/23,142
Texas Marathon,2023,1/1/23,142
Millennium Meadows Marathon,2023,8/27/23,141
Long View Marathon,2023,10/14/23,140
State 47 Marathon,2023,1/7/23,140
Skidaway Island Marathon,2023,2/25/23,139
Nebraska State Fair Marathon,2023,8/26/23,138
Daufuskie Island Marathon,2023,1/14/23,137
Santa Clarita Marathon,2023,11/12/23,137
Horse Capital Marathon,2023,4/15/23,136
Spring Chance BQ.2 Marathon,2023,4/15/23,136
Zydeco Marathon,2023,3/12/23,136
McAllen Marathon,2023,1/21/23,134
Towpath Marathon,2023,10/7/23,134
Cannonball Marathon,2023,10/14/23,133
Wausau Marathon,2023,8/19/23,132
SOCAL River Marathon,2023,3/4/23,131
Savin Rock Marathon,2023,3/25/23,130
Adirondack Marathon,2023,10/1/23,129
Des Moines St. Paddy's Marathon,2023,3/18/23,129
Hatfield-McCoy Marathon,2023,6/10/23,129
Jackson River Scenic Trail Marathon,2023,6/3/23,128
Philadelphia Trail Marathon,2023,4/23/23,128
Whitefish Marathon,2023,5/20/23,127
Ohio River Road Runners Club Marathon,2023,4/2/23,125
Queens Marathon (Fall),2023,11/19/23,124
Veterans Marathon,2023,11/11/23,124
White River Marathon for Kenya (prev Mountain Home Marathon for Kenya),2023,11/18/23,124
Belleville Main Street Marathon,2023,9/30/23,123
Estes Park Marathon,2023,6/18/23,123
Apple Tree Marathon,2023,9/17/23,122
Shiprock Marathon,2023,5/6/23,122
Charles River Marathon,2023,9/10/23,121
Rogue Run Marathon,2023,10/14/23,120
RDC Marathon,2023,10/29/23,119
Seabrook Lucky Trail Marathon,2023,3/18/23,118
USA Fit Marathon,2023,1/29/23,118
Abebe Bikila Day International Peace Marathon,2023,9/9/23,116
Heart of America Marathon,2023,9/4/23,115
Vernonia Marathon,2023,4/16/23,115
Mesa Falls Marathon,2023,7/15/23,114
Golden Driller Marathon,2023,4/15/23,113
Lubbock Mayor's Marathon,2023,10/29/23,113
Silverton Alpine Marathon,2023,7/8/23,113
The Buckeye Marathon,2023,1/7/23,113
Beach to Bay Marathon,2023,5/20/23,112
Last Chance BQ.2 Grand Rapids Marathon,2023,9/10/23,111
Silver Falls Marathon,2023,11/4/23,111
Redding Marathon,2023,1/15/23,109
Green Mountain Marathon,2023,10/22/23,108
Stony Creek Marathon,2023,11/5/23,108
Hyannis Marathon,2023,3/5/23,107
Colorado Fall Equinox Marathon,2023,9/17/23,106
Hawai'i Bird Conservation Marathon,2023,12/17/23,106
McKirdy Micro Marathon - NY II,2023,10/14/23,106
Starved Rock County Marathon,2023,5/13/23,106
Staunton Rocks! Marathon & Half,2023,8/26/23,106
Beat The Blerch Saturday Marathon,2023,9/9/23,104
Hoover Dam Marathon,2023,12/9/23,104
Run Crazy Horse,2023,10/8/23,104
"Beaver Canyon Marathon, Half Marathon and 10K",2023,8/5/23,103
Whiskey Row Marathon,2023,10/14/23,100
Brookings Marathon,2023,5/13/23,99
Camarillo Marathon,2023,8/6/23,98
Millbrook Marathon,2023,4/16/23,98
Big Island International Marathon,2023,3/19/23,97
Ely Marathon,2023,9/23/23,97
Grand Island Trail Marathon,2023,7/29/23,97
Red Rock Canyon Marathon,2023,1/21/23,97
Tupelo Marathon,2023,9/3/23,97
Layton Marathon,2023,10/6/23,96
Wenatchee Marathon,2023,4/15/23,96
Teton DAM Marathon,2023,6/3/23,95
Half Sauer Half Kraut Marathon,2023,6/10/23,94
Berryman Marathon,2023,5/20/23,94
The Kensington Marathon,2023,7/30/23,94
Casper Wyoming Marathon,2023,6/4/23,93
Chasing the Unicorn,2023,8/27/23,93
Potomac River Run Fall Marathon,2023,10/7/23,93
Land Between the Lakes Marathon,2023,3/11/23,91
Bears Ears Marathon,2023,11/4/23,90
Veterans Marathon (PA),2023,11/5/23,90
Desert RATS Trail Running Festival,2023,4/15/23,89
Chessie Trail Marathon,2023,11/4/23,88
Marathon 2 Marathon,2023,10/21/23,88
Boulder Rez Marathon,2023,8/12/23,87
Galveston Mardi Gras Marathon,2023,2/26/23,86
Groundhog Marathon,2023,2/4/23,86
Humboldt Redwoods Marathon,2023,10/8/23,86
Sundance to Spearfish Marathon,2023,9/10/23,86
Two Rivers Marathon Race Festival,2023,3/25/23,86
Muddy River Marathon,2023,4/29/23,85
Callaway Gardens Marathon,2023,3/18/23,84
New England Series - CT,2023,6/5/23,84
Aspen Backcountry Marathon,2023,8/5/23,82
Bobcat Trail Marathon,2023,11/11/23,82
Flagstaff Marathon,2023,11/4/23,82
BG26.2 Marathon,2023,11/5/23,81
Eisenhower Marathon,2023,4/29/23,81
Greenway Trail Marathon,2023,3/11/23,81
London OH Marathon,2023,4/15/23,81
Yonkers Marathon,2023,9/17/23,80
Harlingen Marathon,2023,2/5/23,79
Eisenbahn Marathon,2023,7/15/23,77
NipMuck Trail Marathon,2023,10/1/23,77
Yakima River Canyon Marathon,2023,4/1/23,77
Dances With Dirt Devil's Lake,2023,7/8/23,76
"MISH Waterfront Marathon, Half & 10K",2023,6/24/23,76
Monument Marathon,2023,9/30/23,76
Mystery Mountain Marathon,2023,10/8/23,76
Timberline Marathon,2023,6/10/23,76
Two Rivers Sunday Marathon,2023,3/26/23,76
Death Valley Borax Marathon,2023,2/4/23,75
Holloman Ace of Races Marathon,2023,12/9/23,75
Hayden Lake Marathon,2023,10/14/23,74
Paavo Nurmi Marathon (USA),2023,8/12/23,73
Trailbreaker Marathon,2023,4/1/23,73
Black Mountain Marathon,2023,2/25/23,72
Boogie Marathon,2023,6/10/23,72
Sand Hollow Marathon,2023,3/11/23,72
Armed Services Marathon (prev. Oktoberfest Marathon),2023,5/21/23,71
East Canyon Marathon,2023,9/2/23,71
Haulin' Aspen Trail Marathon,2023,8/12/23,71
Virginia Creeper Marathon,2023,4/2/23,71
